丸,丶九
亡,亠𠃊
引,弓丨
化,亻匕
火,八人
介,人丿丨
区,匸乂
犬,大丶
元,二儿
戸,一尸
五,二
互,一二彑
午,𠂉十
公,八厶
今,亼人一乛
支,十又
尺,尸
収,丩又
少,ノ小
冗,冖几
仁,亻二
切,刀七
双,又
太,大丶
天,一大
内,冂人
反,厂又
匹,匚儿
夫,二人
仏,亻厶
分,八刀
文,亠乂
方,丶万
乏,丿之
友,𠂇又
予,龴亅
圧,厂土
以,丶人
右,𠂇口
永,水丶
加,力口
可,丁口
外,夕卜
刊,干刂
旧,日
去,厶土
玉,王
句,勹口
兄,儿口
穴,宀八
古,十口
功,力工
広,厶广丶厂
号,口丂
込,⻌入
左,𠂇工
札,木乚
仕,亻士
史,口
司,口
四,儿囗
市,亠巾
矢,𠂉大
示,二小
失,大丿夫二人
写,冖与
主,丶王
出,凵丨
処,夂几
召,刀口
世,廿𠃊
正,一止
生,𠂉土
占,⺊口
他,亻也乜丨
打,扌丁
代,亻弋
台,厶口
庁,广丶厂丁
冬,夂⺀
白,丿日
半,十
犯,犭㔾
必,心丿
氷,水丶
付,亻寸
布,𠂇巾
払,扌厶
平,干丷
辺,辶刀
弁,厶廾
包,勹己
北,丬匕
本,木一
末,木
未,木
民,氏
由,十囗
幼,幺力
令,亼人一卩
礼,礻乚
安,宀女
衣,亠𧘇
印,卩
因,口大
宇,扌于丁一
羽,习𠃌丿
汚,氵亐
仮,亻反厂又
回,口
灰,厂火八人
会,人云二厶
各,夂口
汗,氵干
企,人止
危,厃⺈厂㔾
机,木几
気,气𠂉一⺄㐅
休,亻木
吸,口及ノ乃𠄎丿
共,龷八
叫,口丩
曲,曰囗一
血,丿皿
件,亻牛
交,亠父
光,⺌兀一儿
向,口丿冋冂
后,口
好,女子
考,耂丂
行,彳亍一丁
合,亼人一口
再,一冉冂土
在,𠂇丨土
死,歹一夕匕
糸,幺小
至,一厶土
字,子宀
寺,土寸
次,冫欠
式,工弋
芝,艹之
守,宀寸
州,巛𡿨
充,𠫓儿
色,巴巳丨勹
成,戊丿戈弋𠃌
舌,千口
先,⺧儿
全,入王
早,日十
争,⺈⺕亅
存,子𠂇
多,夕
宅,宀乇丿七
団,囗寸
地,土也乜丨
池,氵也乜丨
仲,亻中
伝,亻云二厶
灯,火八人丁
当,⺌彐
同,冂一口
肉,内冂人
任,亻壬
年,午𠂉十厂
肌,肉内人冂几
百,一白丿日
伏,亻犬大丶
忙,忄亡亠𠃊
毎,𠂉毋
名,夕口
有,𠂇月
両,一冂山
列,歹一夕刂
老,耂匕
位,亻立
囲,井二口
医,匸矢𠂉大
応,广丶厂心
何,亻可丁口
花,艹化亻匕
我,手戈弋丿
快,忄夬
改,己攵
貝,目八
角,⺈用
完,宀元二儿
含,今亼乛人一口
希,㐅布𠂇巾
汽,氵气𠂉一⺄
技,扌支十又
求,水
究,穴宀八九
狂,犬大丶王
局,尸口
均,土匀勹冫
近,⻌斤
君,尹⺕丿口
形,开一廾彡
系,糸幺小
芸,艹云二厶
迎,⻌卬
決,氵夬
見,目儿
孝,耂子
抗,扌亢亠几
攻,工攵
更,曰囗一
告,⺧口
困,木囗
災,巛𡿨火八人
材,木才
作,亻乍丿
伺,亻司口
志,心士
私,禾厶
似,亻以丶人
児,儿旧日
社,礻土
住,亻主丶王
初,衤刀
助,且力
序,广丶厂予龴亅
床,广丶厂木
条,攵木
状,丬犬大丶
伸,亻申
辛,立十
図,囗
吹,囗欠
声,士尸
折,扌斤
走,土龰
即,艮卩
束,木口
足,口龰
村,木寸
対,寸文亠乂
体,亻本木一
沢,氵尺尸
男,田力
町,田丁
沈,氵冘
低,亻氐氏一
弟,丿弚丷弔弓丨
努,奴女又力
投,扌殳几又
豆,一口䒑
