丸,
及,
乞,
刃,
亡,
凡,
引,
化,
火,
介,
刈,
凶,
区,
犬,
元,
幻,
戸,
五,
互,
午,
公,
勾,
孔,
今,
支,
尺,
収,
升,
少,
冗,
仁,
井,
切,
双,
太,
丹,
弔,
天,
内,
匂,
反,
匹,
夫,
仏,
分,
文,
方,
乏,
厄,
友,
予,
圧,
以,
右,
永,
凹,
加,
可,
外,
刊,
丘,
旧,
去,
玉,
句,
兄,
穴,
玄,
古,
功,
巧,
広,
甲,
号,
込,
左,
札,
仕,
史,
司,
四,
市,
矢,
示,
失,
写,
主,
囚,
汁,
出,
処,
召,
尻,
世,
正,
生,
斥,
仙,
占,
他,
打,
代,
台,
旦,
庁,
奴,
冬,
凸,
丼,井:二
尼,
白,
半,
氾,
犯,
必,
氷,
付,
布,
払,
丙,
平,
辺,
弁,
包,
北,
本,
末,
未,
民,
由,
幼,
令,
礼,
扱,
安,
衣,
芋,
印,
因,
宇,
羽,
汚,
仮,
回,
灰,
会,
各,
汗,
企,
伎,
危,
机,
気,
吉,
休,
吸,
朽,
共,
叫,
仰,
曲,
刑,
血,
件,
交,
光,
向,
后,
好,
江,
考,
行,
合,
再,
在,
旨,
死,
糸,
至,
字,
寺,
次,
式,
芝,
守,
朱,
州,
充,
旬,
巡,
如,
匠,
色,
尽,尺:尸
迅,
成,
舌,
先,
全,
壮,
早,
争,
存,
多,
宅,
団,
地,
池,
仲,
伝,
吐,
灯,火:八人
当,
同,
弐,
肉,内:冂人
任,
年,午:𠂉十
肌,肉:内冂人,内:冂人
伐,
帆,
汎,
妃,
百,
伏,
忙,
朴,
毎,
名,
妄,亡:亠𠃊
有,
吏,
両,
列,
劣,少:ノ小
老,
位,
囲,井:二
医,
壱,
応,
何,
花,
我,
快,
戒,
改,
貝,
角,
完,
肝,肉:内冂人,内:冂人
含,今:亼人一乛
岐,
希,
忌,
汽,
技,
却,去:厶土
求,
究,穴:宀八
狂,犬:大丶
局,
均,
近,
吟,
串,
君,
形,
系,糸:幺小
芸,
迎,
決,
見,
呉,
坑,
孝,
抗,
攻,
更,
克,
告,
困,
佐,
沙,
災,
材,
作,
伺,
志,
私,
似,
児,
社,
寿,
秀,
住,
初,
助,
序,
床,
抄,
肖,肉:内冂人,内:冂人
条,
状,
伸,
芯,
辛,
図,
吹,
杉,
声,
折,
走,
即,
束,
足,
村,
汰,
妥,
対,
体,
択,
沢,
但,
男,
沖,
町,
沈,
低,
呈,
廷,
弟,
努,奴:女又
投,
豆,
那,
尿,
妊,
忍,刃:丶刀
把,
売,
伯,
麦,
抜,
伴,
判,半:十
坂,
阪,
否,
批,
尾,
肘,
扶,
兵,丘:一斤
別,
返,
芳,
邦,
坊,
妨,
忘,亡:亠𠃊
防,
没,
妙,
冶,
役,
余,
妖,
抑,
沃,
来,未:木
乱,舌:千口
卵,
利,
里,
良,
冷,
励,
戻,戸:一尸
呂,
労,
弄,
宛,
依,
委,
育,
泳,
英,
易,
延,
沿,
炎,火:八人
往,
押,
旺,
欧,区:匸乂
殴,区:匸乂
岡,
佳,
価,
果,
河,
苛,
画,
芽,
怪,
拐,
劾,
拡,
学,
岳,丘:一斤
官,
岸,
岩,
玩,
奇,
祈,
季,
宜,
泣,
居,
拒,
拠,
京,
享,古:十口
供,
協,
況,
苦,
具,
空,穴:宀八
屈,
径,
茎,
券,
肩,戸:一尸
弦,
呼,
固,
股,
虎,
効,交:亠父
幸,
拘,
肯,肉:内冂人,内:冂人
刻,
国,
昆,
妻,
采,
刷,
刹,
参,
使,
刺,
始,
姉,
枝,
祉,
肢,肉:内冂人,内:冂人
事,
侍,
治,
実,
舎,
者,老:耂匕
邪,
若,
取,
受,
呪,
周,
宗,
叔,
述,
所,戸:一尸
尚,
招,
承,
昇,
松,
沼,
垂,
炊,火:八人
枢,
制,
姓,生:𠂉土
征,
性,
青,
昔,
析,
拙,
狙,
阻,
卒,
卓,
拓,
担,
知,矢:𠂉大
宙,
忠,
抽,
注,
直,
坪,
定,
底,
抵,
邸,
泥,
的,白:丿日
迭,
典,
店,
妬,
東,束:木口
到,至:一厶土
毒,
突,穴:宀八
届,
奈,
乳,
念,今:亼人一乛
波,
拝,
杯,
拍,
泊,
迫,
板,
版,
彼,
披,
肥,
泌,
表,
苗,
府,
怖,
阜,
附,
侮,
武,
服,
沸,
物,
併,
並,
歩,
奉,
宝,
抱,
放,方:丶万
法,
泡,
房,戸:一尸
肪,
牧,
奔,
妹,
枚,
枕,
抹,
味,
岬,
命,
明,
免,
茂,
盲,亡:亠𠃊
夜,
弥,
油,
拉,
林,
例,
炉,火:八人
和,
枠,
哀,衣:亠𧘇
威,
畏,
胃,
茨,
咽,
姻,
映,
栄,
疫,
怨,
屋,
卸,
音,
科,
架,加:力口
悔,
海,
界,
皆,
垣,
柿,
括,
活,
冠,元:二儿
巻,
看,
紀,糸:幺小
軌,
客,
逆,
虐,
急,
級,糸:幺小
糾,糸:幺小
峡,
挟,
狭,犬:大丶
軍,
係,
型,刑:开一廾刂
契,
計,
建,
研,
県,
限,
孤,
弧,
故,古:十口
枯,
後,
侯,
厚,
恒,
洪,
皇,
紅,糸:幺小
荒,
郊,交:亠父
香,
拷,
恨,
査,
砂,
砕,
削,
昨,
柵,
咲,
姿,
思,
指,
施,方:丶万
持,
室,
狩,犬:大丶
首,
拾,
秋,火:八人
臭,
柔,
重,里:田土
祝,
俊,
春,
盾,
叙,
昭,
乗,
城,
浄,
拭,
食,
侵,
信,
津,
神,
甚,
帥,
是,
政,正:一止
星,
牲,
省,少:ノ小
窃,穴:宀八
宣,
専,
泉,
浅,
洗,
染,
前,
祖,
奏,
相,
荘,
草,
送,
促,
則,貝:目八
俗,
耐,
待,
怠,
胎,肉:内冂人,内:冂人
退,
単,
炭,火:八人
胆,肉:内冂人,内:冂人
段,
茶,
昼,尺:尸
柱,
挑,
勅,束:木口
珍,
追,
亭,
貞,
帝,
訂,
点,占:⺊口
度,
怒,奴:女又
逃,
洞,
峠,
独,
栃,
南,
虹,
派,
背,北:丬匕
肺,肉:内冂人,内:冂人
畑,火:八人
発,
卑,白:丿日
飛,升:十廾
眉,
美,
秒,
品,
訃,
負,
赴,走:土龰
封,
風,
柄,
変,
便,
保,
胞,
某,
冒,
勃,
盆,分:八刀
昧,
迷,
約,糸:幺小
勇,
幽,
洋,
要,
律,
柳,
侶,
厘,
郎,良:丶艮
挨,
案,安:宀女
員,貝:目八
院,
唄,
畝,
浦,
益,
悦,
宴,
桜,
翁,公:八厶
俺,
恩,
夏,
家,
荷,
華,
蚊,
害,
格,
核,
株,
釜,
陥,
既,
記,
起,走:土龰
飢,
鬼,
帰,
宮,
挙,
恐,
恭,井:二
胸,肉:内冂人,内:冂人
脅,肉:内冂人,内:冂人
訓,
郡,君:尹⺕丿口
恵,
桁,
倹,
剣,
拳,
軒,
原,
個,
庫,
娯,
悟,
候,
校,
耕,
航,
貢,貝:目八
降,
高,
剛,岡:冂䒑山
骨,
根,
唆,
差,左:𠂇工
座,
挫,
宰,
栽,
剤,
財,貝:目八
索,
殺,
桟,
蚕,
残,
師,
恣,次:冫欠
紙,糸:幺小
